2023-08-23 14:48:57,680 - logger name:exp/ECL-PatchTST2023-08-23-14:48:57.676564/ECL-PatchTST.log
2023-08-23 14:48:57,681 - params : {'loss': 'huber', 'conf': 'ECL-PatchTST', 'data_name': 'ETTh2', 'iteration': 1, 'train': 1, 'load': True, 'build_graph': False, 'same_init': True, 'grad_norm': False, 'refiner_residual': 0, 'root_path': '', 'exp_path': 'exp/', 'val_test_mix': False, 'pred_len': 96, 'noise_rate': 0.5, 'device': device(type='cuda', index=1), 'test_model_path': '/Disk/fhyega/code/BASE/exp/ECL-PatchTST2023-08-22-20:19:56.785959/0/best_model.pkl', 'idx': -1, 'aligner': 1, 'always_align': 1, 'refiner': 1, 'rec_block_num': 1, 'enhance': 1, 'enhance_type': 5, 'seed': 34, 'batch_size': 128, 'share_head': 0, 'add_noise': 1, 'jitter_sigma': 2.0, 'slope_rate': 0.01, 'slope_range': 0.5, 'alpha': 10.0, 'beta': 1.0, 'gamma': 0.15, 'feature_jittering': 1, 'rec_intra_feature': 0, 'rec_ori': 1, 'mid_dim': 128, 'test_en': 0, 'debugger': 0, 'omega': 1.0, 'theta': 0.0, 'mask_border': 1, 'sup_weight': 20.0, 'rec_length_ratio': 0.95, 'ref_dropout': 0.0, 'ref_block_num': 2, 'add_FFN': 0, 'add_residual': 0, 'rec_all': 0, '/* model related args*/': '//', 'model_name': 'PatchTST', 'seq_len': 336, 'label_len': 48, 'features': 'M', 'target': 'OT', 'graph_input': False, 'individual': False, 'e_layers': 3, 'd_layers': 1, 'factor': 1, 'n_heads': 16, 'd_model': 128, 'd_ff': 256, 'dropout': 0.2, 'fc_dropout': 0.2, 'head_dropout': 0.0, 'patch_len': 16, 'stride': 8, 'des': 'Exp', 'padding_patch': 'end', 'revin': 1, 'affine': 0, 'subtract_last': 0, 'decomposition': 0, 'kernel_size': 25, 'output_attention': 0, 'embed_type': 0, 'activation': 'gelu', 'lradj': 'TST', 'distil': 1, 'linear_output': 1, 'pct_start': 0.2, '/*train related args*/': '//', 'epoch': 30, 'lr': 0.0001, '/*dataset related args*/': '//', 'save_data_path': 'data/ECL/', 'data_process': True, 'embed': 'timeF', 'freq': 'h', 'begin_phase': 0, 'end_phase': 1, 'phase_len': 26304, 'val_ratio': 0.33, 'graph_size': 321, '/*strategy related args*/': '//', 'strategy': 'incremental', 'increase': False, 'detect': False, 'detect_strategy': 'feature', 'replay': False, 'replay_strategy': 'random', 'repaly_num_samples': 100, 'ewc': False, 'ewc_strategy': 'ewc', 'ewc_lambda': 0.0001, 'subgraph_train': False, 'num_hops': 2, 'logname': 'ECL-PatchTST', 'time': '2023-08-23-14:48:57.676564', 'path': 'exp/ECL-PatchTST2023-08-23-14:48:57.676564', 'num_workers': 4, 'start_train': 0, 'train_mode': 'pretrain', 'get_score': False, 'use_cm': True, 'logger': <Logger __main__ (INFO)>}
2023-08-23 14:48:57,681 - [*] phase 0 start training
0 26304
train 8209
val 2785
test 2785
2023-08-23 14:48:57,877 - [*] phase 0 Dataset load!
2023-08-23 14:48:58,893 - [*] phase 0 Training start
train 8209
2023-08-23 14:49:23,925 - epoch:0, training loss:0.2223 validation loss:0.1619
train 8209
vs, vt 0.1619003186510368 0.1647822740064426
Updating learning rate to 1.0463629820836433e-05
Updating learning rate to 1.0463629820836433e-05
train 8209
tensor(0.5450, device='cuda:1') tensor(0.0419, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5489, device='cuda:1') tensor(0.0465, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5515, device='cuda:1') tensor(0.0427, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5495, device='cuda:1') tensor(0.0325, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5285, device='cuda:1') tensor(0.0369, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5483, device='cuda:1') tensor(0.0417, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5556, device='cuda:1') tensor(0.0412, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5333, device='cuda:1') tensor(0.0402, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5374, device='cuda:1') tensor(0.0435, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5452, device='cuda:1') tensor(0.0430, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5355, device='cuda:1') tensor(0.0413, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5409, device='cuda:1') tensor(0.0456, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5369, device='cuda:1') tensor(0.0375, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5340, device='cuda:1') tensor(0.0396, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5299, device='cuda:1') tensor(0.0510, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5131, device='cuda:1') tensor(0.0326, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5248, device='cuda:1') tensor(0.0326, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5240, device='cuda:1') tensor(0.0435, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5119, device='cuda:1') tensor(0.0359, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5266, device='cuda:1') tensor(0.0462, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4989, device='cuda:1') tensor(0.0329, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5216, device='cuda:1') tensor(0.0523, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5102, device='cuda:1') tensor(0.0408, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.5007, device='cuda:1') tensor(0.0371, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4978, device='cuda:1') tensor(0.0403, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4954, device='cuda:1') tensor(0.0311, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4965, device='cuda:1') tensor(0.0407, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4929, device='cuda:1') tensor(0.0329, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4823, device='cuda:1') tensor(0.0362, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4934, device='cuda:1') tensor(0.0437, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4900, device='cuda:1') tensor(0.0414, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4879, device='cuda:1') tensor(0.0409, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4735, device='cuda:1') tensor(0.0312, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4693, device='cuda:1') tensor(0.0341, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4669, device='cuda:1') tensor(0.0299, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4528, device='cuda:1') tensor(0.0293, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4616, device='cuda:1') tensor(0.0277, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4563, device='cuda:1') tensor(0.0341, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4424, device='cuda:1') tensor(0.0265, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4436, device='cuda:1') tensor(0.0352, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4411, device='cuda:1') tensor(0.0366, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4297, device='cuda:1') tensor(0.0327, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4259, device='cuda:1') tensor(0.0352, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4245, device='cuda:1') tensor(0.0275, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4179, device='cuda:1') tensor(0.0344, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4123, device='cuda:1') tensor(0.0285, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.4118, device='cuda:1') tensor(0.0343, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3992, device='cuda:1') tensor(0.0323, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3896, device='cuda:1') tensor(0.0266, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3912, device='cuda:1') tensor(0.0341, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3877, device='cuda:1') tensor(0.0303, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3755, device='cuda:1') tensor(0.0283, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3714, device='cuda:1') tensor(0.0238, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3672, device='cuda:1') tensor(0.0254, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3610, device='cuda:1') tensor(0.0247, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3519, device='cuda:1') tensor(0.0242, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3522, device='cuda:1') tensor(0.0264, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3446, device='cuda:1') tensor(0.0225, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3391, device='cuda:1') tensor(0.0228, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3378, device='cuda:1') tensor(0.0243, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3306, device='cuda:1') tensor(0.0195, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3334, device='cuda:1') tensor(0.0193, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3309, device='cuda:1') tensor(0.0266, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3138, device='cuda:1') tensor(0.0214, device='cuda:1', grad_fn=<MeanBackward0>)
vs, vt 0.1362284185703505 0.14328568784350698
need align? ->  False 0.14328568784350698
2023-08-23 14:50:54,394 - epoch:1, training loss:5.1292 validation loss:0.1362
Updating learning rate to 2.8113748014145436e-05
Updating learning rate to 2.8113748014145436e-05
train 8209
tensor(0.3237, device='cuda:1') tensor(0.0270, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3019, device='cuda:1') tensor(0.0185, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.2986, device='cuda:1') tensor(0.0172, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.3087, device='cuda:1') tensor(0.0225, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.2982, device='cuda:1') tensor(0.0183, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.2952, device='cuda:1') tensor(0.0194, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.2875, device='cuda:1') tensor(0.0155, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.2893, device='cuda:1') tensor(0.0200, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.2764, device='cuda:1') tensor(0.0138, device='cuda:1', grad_fn=<MeanBackward0>)
tensor(0.2796, device='cuda:1') tensor(0.0211, device='cuda:1', grad_fn=<MeanBackward0>)
