2023-05-11 19:12:20,342 - logger name:exp/district3F11T17/incremental-linear2023-05-11-19:12:20.342025/incremental-linear.log
2023-05-11 19:12:20,343 - params : {'conf': 'incremental-linear', 'load_config': 'configs/', 'data_process': False, 'auto_test': 1, 'load': True, 'device': device(type='cuda', index=1), 'build_graph': False, 'dynamic_graph': False, 'graph_input': False, 'model_name': 'Linear', 'data_name': 'PEMS3-Stream', 'raw_data_path': 'data/district3F11T17/finaldata/', 'graph_path': 'data/district3F11T17/graph/', 'save_data_path': 'data/district3F11T17/FastData/', 'model_path': 'exp/district3F11T17/', 'year': 2012, 'days': 31, 'logname': 'incremental-linear', '/* model related args*/': '//', 'x_len': 12, 'y_len': 12, 'dropout': 0.0, 'individual': False, '/*train related args*/': '//', 'train': True, 'begin_year': 2011, 'end_year': 2017, 'epoch': 100, 'batch_size': 128, 'lr': 0.01, 'loss': 'mse', '/*strategy related args*/': '//', 'strategy': 'incremental', 'increase': False, 'detect': False, 'detect_strategy': 'feature', 'replay': False, 'replay_strategy': 'random', 'repaly_num_samples': 100, 'ewc': False, 'ewc_strategy': 'ewc', 'ewc_lambda': 0.0001, 'subgraph_train': False, 'num_hops': 2, 'time': '2023-05-11-19:12:20.342025', 'path': 'exp/district3F11T17/incremental-linear2023-05-11-19:12:20.342025', 'logger': <Logger __main__ (INFO)>}
2023-05-11 19:12:20,343 - [*] Year 2011 load from data/district3F11T17/FastData/2011_30day.npz
2023-05-11 19:12:21,270 - [*] Year 2011 Dataset load!
2023-05-11 19:12:22,312 - [*] Year 2011 Training start
2023-05-11 19:12:22,447 - node number torch.Size([83840, 12])
2023-05-11 19:12:23,585 - epoch:0, training loss:138.5095 validation loss:139.9771
2023-05-11 19:12:24,544 - epoch:1, training loss:138.0724 validation loss:139.5064
2023-05-11 19:12:25,491 - epoch:2, training loss:137.5616 validation loss:139.0390
2023-05-11 19:12:26,438 - epoch:3, training loss:137.2082 validation loss:138.5757
2023-05-11 19:12:27,414 - epoch:4, training loss:136.7007 validation loss:138.1171
2023-05-11 19:12:28,375 - epoch:5, training loss:136.2895 validation loss:137.6604
2023-05-11 19:12:29,329 - epoch:6, training loss:135.8399 validation loss:137.2084
2023-05-11 19:12:30,303 - epoch:7, training loss:135.3617 validation loss:136.7591
2023-05-11 19:12:31,257 - epoch:8, training loss:134.9233 validation loss:136.3145
2023-05-11 19:12:32,235 - epoch:9, training loss:134.5751 validation loss:135.8731
2023-05-11 19:12:33,207 - epoch:10, training loss:134.1489 validation loss:135.4359
2023-05-11 19:12:34,189 - epoch:11, training loss:133.6344 validation loss:134.9999
2023-05-11 19:12:35,171 - epoch:12, training loss:133.2538 validation loss:134.5688
2023-05-11 19:12:36,119 - epoch:13, training loss:132.8293 validation loss:134.1413
2023-05-11 19:12:37,078 - epoch:14, training loss:132.4210 validation loss:133.7180
2023-05-11 19:12:38,054 - epoch:15, training loss:131.9849 validation loss:133.2982
2023-05-11 19:12:39,030 - epoch:16, training loss:131.5879 validation loss:132.8813
2023-05-11 19:12:39,995 - epoch:17, training loss:131.1529 validation loss:132.4694
2023-05-11 19:12:40,959 - epoch:18, training loss:130.7913 validation loss:132.0586
2023-05-11 19:12:41,911 - epoch:19, training loss:130.3826 validation loss:131.6521
2023-05-11 19:12:42,877 - epoch:20, training loss:129.9759 validation loss:131.2479
2023-05-11 19:12:43,839 - epoch:21, training loss:129.5549 validation loss:130.8487
2023-05-11 19:12:44,810 - epoch:22, training loss:129.1528 validation loss:130.4519
2023-05-11 19:12:45,792 - epoch:23, training loss:128.8086 validation loss:130.0586
2023-05-11 19:12:46,754 - epoch:24, training loss:128.3921 validation loss:129.6680
2023-05-11 19:12:47,722 - epoch:25, training loss:128.0056 validation loss:129.2818
2023-05-11 19:12:48,686 - epoch:26, training loss:127.6460 validation loss:128.8995
2023-05-11 19:12:49,683 - epoch:27, training loss:127.2638 validation loss:128.5201
2023-05-11 19:12:50,661 - epoch:28, training loss:126.8274 validation loss:128.1436
2023-05-11 19:12:51,626 - epoch:29, training loss:126.5082 validation loss:127.7715
2023-05-11 19:12:52,605 - epoch:30, training loss:126.1280 validation loss:127.4020
2023-05-11 19:12:53,577 - epoch:31, training loss:125.7841 validation loss:127.0355
2023-05-11 19:12:54,568 - epoch:32, training loss:125.3903 validation loss:126.6733
2023-05-11 19:12:55,548 - epoch:33, training loss:125.0507 validation loss:126.3137
2023-05-11 19:12:56,508 - epoch:34, training loss:124.7123 validation loss:125.9571
2023-05-11 19:12:57,515 - epoch:35, training loss:124.3661 validation loss:125.6032
2023-05-11 19:12:58,475 - epoch:36, training loss:123.9753 validation loss:125.2520
2023-05-11 19:12:59,427 - epoch:37, training loss:123.6377 validation loss:124.9040
2023-05-11 19:13:00,384 - epoch:38, training loss:123.2976 validation loss:124.5589
2023-05-11 19:13:01,334 - epoch:39, training loss:122.9726 validation loss:124.2159
2023-05-11 19:13:02,286 - epoch:40, training loss:122.6358 validation loss:123.8752
2023-05-11 19:13:03,247 - epoch:41, training loss:122.3601 validation loss:123.5367
2023-05-11 19:13:04,209 - epoch:42, training loss:121.9676 validation loss:123.2008
2023-05-11 19:13:05,160 - epoch:43, training loss:121.5877 validation loss:122.8656
2023-05-11 19:13:06,108 - epoch:44, training loss:121.2950 validation loss:122.5350
2023-05-11 19:13:07,102 - epoch:45, training loss:120.9943 validation loss:122.2053
2023-05-11 19:13:08,089 - epoch:46, training loss:120.6255 validation loss:121.8772
2023-05-11 19:13:09,062 - epoch:47, training loss:120.3156 validation loss:121.5516
2023-05-11 19:13:10,017 - epoch:48, training loss:119.9811 validation loss:121.2272
2023-05-11 19:13:10,995 - epoch:49, training loss:119.7159 validation loss:120.9047
2023-05-11 19:13:11,970 - epoch:50, training loss:119.3479 validation loss:120.5836
2023-05-11 19:13:12,941 - epoch:51, training loss:119.0404 validation loss:120.2646
2023-05-11 19:13:13,901 - epoch:52, training loss:118.7084 validation loss:119.9472
2023-05-11 19:13:14,868 - epoch:53, training loss:118.3954 validation loss:119.6314
2023-05-11 19:13:15,823 - epoch:54, training loss:118.0922 validation loss:119.3176
2023-05-11 19:13:16,784 - epoch:55, training loss:117.7548 validation loss:119.0044
2023-05-11 19:13:17,740 - epoch:56, training loss:117.4937 validation loss:118.6935
2023-05-11 19:13:18,697 - epoch:57, training loss:117.1253 validation loss:118.3836
2023-05-11 19:13:19,667 - epoch:58, training loss:116.8551 validation loss:118.0760
2023-05-11 19:13:20,628 - epoch:59, training loss:116.5654 validation loss:117.7694
2023-05-11 19:13:21,584 - epoch:60, training loss:116.2236 validation loss:117.4635
2023-05-11 19:13:22,562 - epoch:61, training loss:115.9262 validation loss:117.1602
2023-05-11 19:13:23,527 - epoch:62, training loss:115.6150 validation loss:116.8572
2023-05-11 19:13:24,491 - epoch:63, training loss:115.3843 validation loss:116.5568
2023-05-11 19:13:25,443 - epoch:64, training loss:114.9990 validation loss:116.2567
2023-05-11 19:13:26,402 - epoch:65, training loss:114.7115 validation loss:115.9583
2023-05-11 19:13:27,358 - epoch:66, training loss:114.4310 validation loss:115.6623
2023-05-11 19:13:28,313 - epoch:67, training loss:114.1600 validation loss:115.3669
